source_ip,dest_ip,port,protocol,requests,failed_logins,accounts_targeted,time_delta,timestamp
192.168.1.50,10.0.4.12,22,SSH,500,147,18,120,2026-09-20 17:14:02
10.0.12.88,10.0.2.1,443,HTTPS,14200,2,1,60,2026-09-20 17:12:45
172.16.42.11,10.0.10.15,3389,RDP,840,89,4,90,2026-09-20 17:08:19
192.168.1.105,10.0.1.24,80,TCP,3400,0,0,30,2026-09-20 16:55:00
45.142.120.9,10.0.4.50,8080,HTTP,120,12,2,180,2026-09-20 16:42:11
198.51.100.42,10.0.2.80,21,FTP,620,41,6,110,2026-09-20 16:15:33
10.0.5.112,10.0.4.12,443,HTTPS,45,1,1,300,2026-09-20 16:30:00
10.0.1.15,10.0.2.5,443,HTTPS,82,0,1,600,2026-09-20 16:20:15
10.0.1.20,10.0.2.5,443,HTTPS,110,0,1,600,2026-09-20 16:21:40
10.0.1.33,10.0.4.12,80,HTTP,34,0,1,450,2026-09-20 16:22:11
10.0.1.45,10.0.3.8,3306,MySQL,210,0,1,900,2026-09-20 16:23:05
10.0.2.14,10.0.2.1,443,HTTPS,95,0,1,600,2026-09-20 16:24:19
10.0.5.88,10.0.4.12,22,SSH,12,0,1,1200,2026-09-20 16:25:00
10.0.3.11,10.0.2.1,443,HTTPS,65,0,1,600,2026-09-20 16:26:12
185.220.101.5,10.0.4.12,22,SSH,320,68,9,150,2026-09-20 16:28:44
10.0.1.99,10.0.2.5,443,HTTPS,41,0,1,500,2026-09-20 16:29:10
10.0.2.100,10.0.3.8,5432,PostgreSQL,180,0,1,800,2026-09-20 16:31:00
91.240.118.17,10.0.10.15,3389,RDP,450,54,3,120,2026-09-20 16:33:22
10.0.1.55,10.0.2.1,443,HTTPS,73,0,1,600,2026-09-20 16:35:10
10.0.4.19,10.0.4.12,443,HTTPS,29,0,1,400,2026-09-20 16:36:00
